class_name,dataset_folder,train_count,val_count,test_count,predicted_count,precision,recall,f1_score,support
Angry,Angry,8022,1719,1720,1616,0.8632425742574258,0.811046511627907,0.8363309352517986,1720
Fear,Fear,6812,1459,1461,1334,0.8463268365817092,0.7727583846680356,0.807871198568873,1461
Happy,Happy,15525,3326,3328,3379,0.9390352175199763,0.9534254807692307,0.9461756373937678,3328
Neutral,Neutral,2818,604,605,694,0.6685878962536023,0.7669421487603306,0.7143956889915319,605
Sad,Sad,11540,2473,2474,2588,0.7886398763523956,0.8249797898140663,0.8064006321612011,2474
Surprise,Surprise,6622,1419,1420,1397,0.9141016463851109,0.8992957746478873,0.9066382676606318,1420
